//// switch tests ////

thread.yield.preemptive.ctx.mean                                                             :      34 cycles ,      533 ns : 
thread.yield.preemptive.ctx.min                                                               :      33 cycles ,      515 ns : 
thread.yield.preemptive.ctx.max                                                               :     105 cycles ,     1640 ns : 
thread.yield.preemptive.ctx.stddev                                                            :       3 cycles ,       46 ns : 
thread.yield.preemptive.ctx.median                                                            :      33 cycles ,      515 ns : 
thread.yield.preemptive.ctx.p90                                                               :      34 cycles ,      531 ns : 
thread.yield.preemptive.ctx.p99                                                               :      48 cycles ,      750 ns : 

thread.yield.cooperative.ctx.mean                                                            :      34 cycles ,      531 ns : 
thread.yield.cooperative.ctx.min                                                              :      33 cycles ,      515 ns : 
thread.yield.cooperative.ctx.max                                                              :      50 cycles ,      781 ns : 
thread.yield.cooperative.ctx.stddev                                                           :       2 cycles ,       31 ns : 
thread.yield.cooperative.ctx.median                                                           :      33 cycles ,      515 ns : 
thread.yield.cooperative.ctx.p90                                                              :      34 cycles ,      531 ns : 
thread.yield.cooperative.ctx.p99                                                              :      49 cycles ,      765 ns : 

//// ISR tests ////

isr.resume.interrupted.thread.kernel.mean                                                    :      13 cycles ,      204 ns : 
isr.resume.interrupted.thread.kernel.min                                                      :      13 cycles ,      203 ns : 
isr.resume.interrupted.thread.kernel.max                                                      :      54 cycles ,      843 ns : 
isr.resume.interrupted.thread.kernel.stddev                                                   :       1 cycles ,       15 ns : 
isr.resume.interrupted.thread.kernel.median                                                   :      13 cycles ,      203 ns : 
isr.resume.interrupted.thread.kernel.p90                                                      :      13 cycles ,      203 ns : 
isr.resume.interrupted.thread.kernel.p99                                                      :      14 cycles ,      218 ns : 

isr.resume.different.thread.kernel.mean                                                      :      39 cycles ,      622 ns : 
isr.resume.different.thread.kernel.min                                                        :      39 cycles ,      609 ns : 
isr.resume.different.thread.kernel.max                                                        :      58 cycles ,      906 ns : 
isr.resume.different.thread.kernel.stddev                                                     :       3 cycles ,       46 ns : 
isr.resume.different.thread.kernel.median                                                     :      39 cycles ,      609 ns : 
isr.resume.different.thread.kernel.p90                                                        :      40 cycles ,      625 ns : 
isr.resume.different.thread.kernel.p99                                                        :      57 cycles ,      890 ns : 

//// thread tests ////

thread.create.mean                                                                           :      10 cycles ,      171 ns : 
thread.create.min                                                                             :      10 cycles ,      156 ns : 
thread.create.max                                                                             :      38 cycles ,      593 ns : 
thread.create.stddev                                                                          :       0 cycles ,        0 ns : 
thread.create.median                                                                          :      11 cycles ,      171 ns : 
thread.create.p90                                                                             :      11 cycles ,      171 ns : 
thread.create.p99                                                                             :      12 cycles ,      187 ns : 

thread.start.mean                                                                            :      38 cycles ,      600 ns : 
thread.start.min                                                                              :      37 cycles ,      578 ns : 
thread.start.max                                                                              :      55 cycles ,      859 ns : 
thread.start.stddev                                                                           :       2 cycles ,       31 ns : 
thread.start.median                                                                           :      38 cycles ,      593 ns : 
thread.start.p90                                                                              :      38 cycles ,      593 ns : 
thread.start.p99                                                                              :      49 cycles ,      765 ns : 

thread.suspend.mean                                                                          :      34 cycles ,      545 ns : 
thread.suspend.min                                                                            :      34 cycles ,      531 ns : 
thread.suspend.max                                                                            :      63 cycles ,      984 ns : 
thread.suspend.stddev                                                                         :       2 cycles ,       31 ns : 
thread.suspend.median                                                                         :      34 cycles ,      531 ns : 
thread.suspend.p90                                                                            :      35 cycles ,      546 ns : 
thread.suspend.p99                                                                            :      42 cycles ,      656 ns : 

thread.resume.mean                                                                           :      36 cycles ,      567 ns : 
thread.resume.min                                                                             :      35 cycles ,      546 ns : 
thread.resume.max                                                                             :      61 cycles ,      953 ns : 
thread.resume.stddev                                                                          :       2 cycles ,       31 ns : 
thread.resume.median                                                                          :      36 cycles ,      562 ns : 
thread.resume.p90                                                                             :      36 cycles ,      562 ns : 
thread.resume.p99                                                                             :      44 cycles ,      687 ns : 

thread.abort.mean                                                                            :       9 cycles ,      144 ns : 
thread.abort.min                                                                              :       9 cycles ,      140 ns : 
thread.abort.max                                                                              :      11 cycles ,      171 ns : 
thread.abort.stddev                                                                           :       0 cycles ,        0 ns : 
thread.abort.median                                                                           :       9 cycles ,      140 ns : 
thread.abort.p90                                                                              :      10 cycles ,      156 ns : 
thread.abort.p99                                                                              :      10 cycles ,      156 ns : 

//// fifo tests ////

fifo.put.immediate.mean                                                                      :       5 cycles ,       79 ns : 
fifo.put.immediate.min                                                                        :       4 cycles ,       62 ns : 
fifo.put.immediate.max                                                                        :      94 cycles ,     1468 ns : 
fifo.put.immediate.stddev                                                                     :       2 cycles ,       31 ns : 
fifo.put.immediate.median                                                                     :       5 cycles ,       78 ns : 
fifo.put.immediate.p90                                                                        :       5 cycles ,       78 ns : 
fifo.put.immediate.p99                                                                        :       5 cycles ,       78 ns : 

fifo.get.immediate.mean                                                                      :       4 cycles ,       62 ns : 
fifo.get.immediate.min                                                                        :       3 cycles ,       46 ns : 
fifo.get.immediate.max                                                                        :      54 cycles ,      843 ns : 
fifo.get.immediate.stddev                                                                     :       1 cycles ,       15 ns : 
fifo.get.immediate.median                                                                     :       4 cycles ,       62 ns : 
fifo.get.immediate.p90                                                                        :       4 cycles ,       62 ns : 
fifo.get.immediate.p99                                                                        :       4 cycles ,       62 ns : 

fifo.put.alloc.immediate.mean                                                                :      28 cycles ,      444 ns : 
fifo.put.alloc.immediate.min                                                                  :      28 cycles ,      437 ns : 
fifo.put.alloc.immediate.max                                                                  :      61 cycles ,      953 ns : 
fifo.put.alloc.immediate.stddev                                                               :       1 cycles ,       15 ns : 
fifo.put.alloc.immediate.median                                                               :      28 cycles ,      437 ns : 
fifo.put.alloc.immediate.p90                                                                  :      29 cycles ,      453 ns : 
fifo.put.alloc.immediate.p99                                                                  :      29 cycles ,      453 ns : 

fifo.get.free.immediate.mean                                                                 :      29 cycles ,      455 ns : 
fifo.get.free.immediate.min                                                                   :      29 cycles ,      453 ns : 
fifo.get.free.immediate.max                                                                   :      42 cycles ,      656 ns : 
fifo.get.free.immediate.stddev                                                                :       0 cycles ,        0 ns : 
fifo.get.free.immediate.median                                                                :      29 cycles ,      453 ns : 
fifo.get.free.immediate.p90                                                                   :      30 cycles ,      468 ns : 
fifo.get.free.immediate.p99                                                                   :      30 cycles ,      468 ns : 

fifo.get.blocking.mean                                                                       :      40 cycles ,      633 ns : 
fifo.get.blocking.min                                                                         :      39 cycles ,      609 ns : 
fifo.get.blocking.max                                                                         :      67 cycles ,     1046 ns : 
fifo.get.blocking.stddev                                                                      :       3 cycles ,       46 ns : 
fifo.get.blocking.median                                                                      :      40 cycles ,      625 ns : 
fifo.get.blocking.p90                                                                         :      40 cycles ,      625 ns : 
fifo.get.blocking.p99                                                                         :      58 cycles ,      906 ns : 

fifo.put.wake+ctx.mean                                                                       :      41 cycles ,      653 ns : 
fifo.put.wake+ctx.min                                                                         :      41 cycles ,      640 ns : 
fifo.put.wake+ctx.max                                                                         :      60 cycles ,      937 ns : 
fifo.put.wake+ctx.stddev                                                                      :       2 cycles ,       31 ns : 
fifo.put.wake+ctx.median                                                                      :      41 cycles ,      640 ns : 
fifo.put.wake+ctx.p90                                                                         :      42 cycles ,      656 ns : 
fifo.put.wake+ctx.p99                                                                         :      53 cycles ,      828 ns : 

fifo.get.free.blocking.mean                                                                  :      40 cycles ,      631 ns : 
