//// switch tests ////

thread.yield.preemptive.ctx.mean                                                             :       7 cycles ,      122 ns : 
thread.yield.preemptive.ctx.min                                                               :       7 cycles ,      109 ns : 
thread.yield.preemptive.ctx.max                                                               :      43 cycles ,      671 ns : 
thread.yield.preemptive.ctx.stddev                                                            :       2 cycles ,       31 ns : 
thread.yield.preemptive.ctx.median                                                            :       7 cycles ,      109 ns : 
thread.yield.preemptive.ctx.p90                                                               :       8 cycles ,      125 ns : 
thread.yield.preemptive.ctx.p99                                                               :      16 cycles ,      250 ns : 

thread.yield.cooperative.ctx.mean                                                            :       7 cycles ,      114 ns : 
thread.yield.cooperative.ctx.min                                                              :       7 cycles ,      109 ns : 
thread.yield.cooperative.ctx.max                                                              :      23 cycles ,      359 ns : 
thread.yield.cooperative.ctx.stddev                                                           :       0 cycles ,        0 ns : 
thread.yield.cooperative.ctx.median                                                           :       7 cycles ,      109 ns : 
thread.yield.cooperative.ctx.p90                                                              :       8 cycles ,      125 ns : 
thread.yield.cooperative.ctx.p99                                                              :       8 cycles ,      125 ns : 

//// ISR tests ////

isr.resume.interrupted.thread.kernel.mean                                                    :       9 cycles ,      142 ns : 
isr.resume.interrupted.thread.kernel.min                                                      :       8 cycles ,      125 ns : 
isr.resume.interrupted.thread.kernel.max                                                      :      33 cycles ,      515 ns : 
isr.resume.interrupted.thread.kernel.stddev                                                   :       0 cycles ,        0 ns : 
isr.resume.interrupted.thread.kernel.median                                                   :       9 cycles ,      140 ns : 
isr.resume.interrupted.thread.kernel.p90                                                      :      10 cycles ,      156 ns : 
isr.resume.interrupted.thread.kernel.p99                                                      :      10 cycles ,      156 ns : 

isr.resume.different.thread.kernel.mean                                                      :      12 cycles ,      193 ns : 
isr.resume.different.thread.kernel.min                                                        :      12 cycles ,      187 ns : 
isr.resume.different.thread.kernel.max                                                        :      15 cycles ,      234 ns : 
isr.resume.different.thread.kernel.stddev                                                     :       0 cycles ,        0 ns : 
isr.resume.different.thread.kernel.median                                                     :      12 cycles ,      187 ns : 
isr.resume.different.thread.kernel.p90                                                        :      13 cycles ,      203 ns : 
isr.resume.different.thread.kernel.p99                                                        :      13 cycles ,      203 ns : 

//// thread tests ////

thread.create.mean                                                                           :      12 cycles ,      187 ns : 
thread.create.min                                                                             :       9 cycles ,      140 ns : 
thread.create.max                                                                             :      49 cycles ,      765 ns : 
thread.create.stddev                                                                          :       4 cycles ,       62 ns : 
thread.create.median                                                                          :      10 cycles ,      156 ns : 
thread.create.p90                                                                             :      18 cycles ,      281 ns : 
thread.create.p99                                                                             :      41 cycles ,      640 ns : 

thread.start.mean                                                                            :      12 cycles ,      195 ns : 
thread.start.min                                                                              :      12 cycles ,      187 ns : 
thread.start.max                                                                              :      14 cycles ,      218 ns : 
thread.start.stddev                                                                           :       0 cycles ,        0 ns : 
thread.start.median                                                                           :      13 cycles ,      203 ns : 
thread.start.p90                                                                              :      13 cycles ,      203 ns : 
thread.start.p99                                                                              :      13 cycles ,      203 ns : 

thread.suspend.mean                                                                          :       7 cycles ,      118 ns : 
thread.suspend.min                                                                            :       7 cycles ,      109 ns : 
thread.suspend.max                                                                            :      27 cycles ,      421 ns : 
thread.suspend.stddev                                                                         :       0 cycles ,        0 ns : 
thread.suspend.median                                                                         :       8 cycles ,      125 ns : 
thread.suspend.p90                                                                            :       8 cycles ,      125 ns : 
thread.suspend.p99                                                                            :       8 cycles ,      125 ns : 

thread.resume.mean                                                                           :       8 cycles ,      134 ns : 
thread.resume.min                                                                             :       8 cycles ,      125 ns : 
thread.resume.max                                                                             :      22 cycles ,      343 ns : 
thread.resume.stddev                                                                          :       0 cycles ,        0 ns : 
thread.resume.median                                                                          :       9 cycles ,      140 ns : 
thread.resume.p90                                                                             :       9 cycles ,      140 ns : 
thread.resume.p99                                                                             :       9 cycles ,      140 ns : 

thread.abort.mean                                                                            :       6 cycles ,       98 ns : 
thread.abort.min                                                                              :       6 cycles ,       93 ns : 
thread.abort.max                                                                              :       8 cycles ,      125 ns : 
thread.abort.stddev                                                                           :       0 cycles ,        0 ns : 
thread.abort.median                                                                           :       6 cycles ,       93 ns : 
thread.abort.p90                                                                              :       7 cycles ,      109 ns : 
thread.abort.p99                                                                              :       7 cycles ,      109 ns : 

//// fifo tests ////

fifo.put.immediate.mean                                                                      :       3 cycles ,       61 ns : 
fifo.put.immediate.min                                                                        :       3 cycles ,       46 ns : 
fifo.put.immediate.max                                                                        :      79 cycles ,     1234 ns : 
fifo.put.immediate.stddev                                                                     :       2 cycles ,       31 ns : 
fifo.put.immediate.median                                                                     :       4 cycles ,       62 ns : 
fifo.put.immediate.p90                                                                        :       4 cycles ,       62 ns : 
fifo.put.immediate.p99                                                                        :       4 cycles ,       62 ns : 

fifo.get.immediate.mean                                                                      :       3 cycles ,       49 ns : 
fifo.get.immediate.min                                                                        :       3 cycles ,       46 ns : 
fifo.get.immediate.max                                                                        :      45 cycles ,      703 ns : 
fifo.get.immediate.stddev                                                                     :       1 cycles ,       15 ns : 
fifo.get.immediate.median                                                                     :       3 cycles ,       46 ns : 
fifo.get.immediate.p90                                                                        :       4 cycles ,       62 ns : 
fifo.get.immediate.p99                                                                        :       4 cycles ,       62 ns : 

fifo.put.alloc.immediate.mean                                                                :      22 cycles ,      351 ns : 
fifo.put.alloc.immediate.min                                                                  :      22 cycles ,      343 ns : 
fifo.put.alloc.immediate.max                                                                  :      47 cycles ,      734 ns : 
fifo.put.alloc.immediate.stddev                                                               :       0 cycles ,        0 ns : 
fifo.put.alloc.immediate.median                                                               :      22 cycles ,      343 ns : 
